[00:07] 主持人：歡迎收聽五級郎剛欸修煉魔港，我是節目主持人Andy。這是一個自我成長、人生經驗對談和內化學習輸出的節目，期待我們一起成為生命中輕易豐盛、富而喜悅的五級郎。
[00:23] 主持人：歡迎回到五級郎，我是Andy。說到做電商啊，很多人第一時間想到的可能是在蝦皮上面賣東西。但如果今天告訴你，有一個戰場，平台要抽15%，物流佔20%，廣告費可能還要再砸20%，利潤被極度壓縮，你還敢去嗎？
[00:00:41] 主持人：今天的來賓Jonathan，他不只去了，還在上面賺到了美��。他專攻門檻極高的亞馬遜跨境電商。回顧他的起點，其實非常接地氣。他以前讀夜校，白天上班，週末還要到處去外面打雜。但現在的他，不只是一個成功的跨境賣家，更在最近四個月內成立了專屬的頻道與學院社群，決心要幫助更多台灣的優質廠商走向國際。從打雜小弟到跨境電商主理人，他是如何在紅海中做出關鍵選擇的？他為什麼覺得蝦皮太捲了，寧願去挑戰亞馬遜呢？讓我們歡迎今天來賓Jonathan。
[01:22] 來賓：Hello hello，我是Jonathan，謝謝Andy啊。
[01:25] 主持人：好，那首先的話呢，因為Jonathan從過去白天上班，然後晚上讀夜校，到現在成為亞馬遜電商的創業家跟學院的創辦人。請Jonathan幫我用三個關鍵字向聽眾朋友介紹一下這個階段的自己喔。
[01:39] 來賓：這個階段的自己喔，我會分三個字，選擇、執行跟長期主義。
[01:45] 主持人：嗯哼。
[01:45] 來賓：我很相信選對戰場比努力還重要。因為你當選了對了，那你就要趕快去執行，堅持到最後，有始有終嘛，不要就是中途而廢。那我��直覺得，我一直都想要創業，但是每一個階段我會把自己當作一個白紙一樣，盡可能去吸收跟累積經驗。
[02:06] 主持人：嗯。但講到選擇，我覺得這件事蠻不容易的，因為大部分人不知道怎麼選吧，就是人云亦云啊，看到別人選什麼自己就好像可以，那不然先就跟著做。但殊不知那個選擇的底層邏輯是什麼，你怎麼樣去鍛鍊自己的選擇跟判斷力呢？
[02:23] 來賓：你選了之後其實就是要為它負責。萬一做不好，那你就是趕快去做止損停止。
[02:32] 主持人：嗯。
[02:33] 來賓：對，那也有很多方式來去，比方說像做選品，我們會看很多的數據維度，然後來去佐證說，誒，是否是有這樣子的消費需求。
[02:44] 主持人：嗯。
[02:44] 來賓：那如果有的話，那我們去驗證。因為你做再多的功課，或者是看過了很多競爭對手啊，分析的評論，你要去驗證市場，讓消費者用錢來證明給你看說這個產品到底能不能賣得出去。
[03:00] 主持人：嗯，懂意思。就是當然選擇很重要，但是實際上你去執行也同步重要，��為就跟我們學英文跟學游泳一樣，你必須要開口講，你必須要下水去游，你才知道說到底那一套理論跟你的選擇有沒有辦法被驗證嘛。
[03:16] 來賓：嗯，是的。
[03:18] 主持人：那剛剛最後一個提到的是長期主義，是什麼時候開始讓你產生這樣的想法？因為其實我沒記錯的話，Jonathan應該蠻年輕的。
[03:27] 來賓：29、29。
[03:28] 主持人：還沒有三都年輕啊，我們都三三奔四的人，這個還沒三。
[03:33] 來賓：嗯，其實我已經做跨境已經要邁入八九年了嘛。
[03:37] 主持人：對啊，你看八九年現在29，所以你20歲就往裡面跳了。
[03:42] 來賓：對。剛開始沒有特別說我一定要做跨境，但是當我做了跨境之後，電商的時候，就覺得很有趣，很好玩，所以我就一直覺得，好，這一條路都可以做，那我就是經過不同的工作累積了這樣子的經驗。
[03:59] 主持人：是。那你那時候，因為是20歲的時候做這件事情嘛，在那之前有沒有什麼樣的契機讓你覺得說，誒，好像自己會對於這個領域是有熱情或感興趣的。
[04:12] 來賓：那就要回到非常非常久以前的我。
[04:15] 主持人：什麼時候？
[04:16] 來賓：八歲的我。
[04:17] 主持人：八歲嗎？
[04:19] 來賓：為什麼會八歲？你就會很奇怪，為什麼會八歲會接觸到電商？
[04:23] 主持人：對啊。
[04:24] 來賓：很奇怪，很奇怪，不是八歲的時候不是都是上課，然後玩電動啊，看電視之類的嗎？
[04:29] 主持人：沒錯。
[04:30] 來賓：那我就下課之後就是玩電動，然後但是，我媽就是說，誒，你要賺零用錢，你有兩個方式。第一個是你一定要考A，就是我那時候在美國嘛，所以A就是一定要100分的意思。
[04:43] 主持人：OK。
[04:44] 來賓：因為我們是華人，華人的英文叫Asian，所以你一定要A，所以你才是Asian。如果你是B，你叫B-sian，你就不是一個合格的亞洲人。
[04:55] 主持人：哇。
[04:55] 來賓：所以我是一個學渣，我不愛讀書的，所以我不可能考A。
[05:01] 主持人：OK。
[05:01] 來賓：那這個方法就淘汰掉了。第二個方法，我媽就說，好，那你去外面打工。
[05:07] 主持人：八歲你可以打工嗎？這好像不太行。
[05:09] 來賓：頂多就是在家裡前面賣個東西，賣個檸檬汁可能吧。
[05:14] 主持人：對。
[05:15] 來賓：但是，我太矮了，沒辦法。隔一段時間就又回到說，你真的想要賺錢嗎？賺零用錢嗎？買你想要的玩具啊什麼的嗎？好，他就跟我說，你可以去eBay。eBay是一個電商平台嘛。
[05:27] 主持人：嗯。
[05:30] 來賓：然後比方說像是一個Yahoo奇摩拍賣的那種。然後他為什麼會發現這個事情是因為他在報紙上面看到，當時eBay是可以在網路上賣東西。然後他就點到那，剩下的就放任我就是你自己去研究。
[05:45] 主持人：OK。
[05:46] 來賓：對。
[05:48] 主持人：我覺得你母親蠻有智慧的。因為他發現也許讀書這條路可能暫時行不通，但他總要讓你早點事做嘛。那他覺得這件事情maybe可以嘗試，因為那個時候應該還蠻早的，我指的是eBay的那個時期。
[06:04] 來賓：非常早期。
[06:04] 主持人：對。所以就是可能在線上做交易買賣這件事情算還在初期的階段。
[06:12] 主持人：嗯。
[06:13] 來賓：競爭對手不多，然後就是非常非常的陽春。
[06:16] 主持人：超陽春。
[06:17] 來賓：我想一下喔，你說你八歲。
[06:20] 主持人：那是20年前。
[06:21] 來賓：20年前的電商。
